2025-05-11 19:01:06,215 - __main__ - INFO - Starting newsletter automation process
2025-05-11 19:01:06,215 - __main__ - INFO - Processing newsletter for date: 2025-05-10
2025-05-11 19:01:06,215 - __main__ - INFO - Running newsletter generation...
2025-05-11 19:01:51,433 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  45%|████▍     | 37/83 [00:43<00:54,  1.18s/article]
2025-05-11 19:01:52,697 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  46%|████▌     | 38/83 [00:44<00:52,  1.17s/article]
2025-05-11 19:01:53,873 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  47%|████▋     | 39/83 [00:45<00:52,  1.20s/article]
2025-05-11 19:01:55,013 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  48%|████▊     | 40/83 [00:47<00:51,  1.19s/article]
2025-05-11 19:01:56,151 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  49%|████▉     | 41/83 [00:48<00:49,  1.18s/article]
2025-05-11 19:01:57,288 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  51%|█████     | 42/83 [00:49<00:47,  1.16s/article]
2025-05-11 19:01:58,447 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  52%|█████▏    | 43/83 [00:50<00:46,  1.16s/article]
2025-05-11 19:01:59,642 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  53%|█████▎    | 44/83 [00:51<00:45,  1.16s/article]
2025-05-11 19:02:00,794 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  54%|█████▍    | 45/83 [00:52<00:44,  1.17s/article]
2025-05-11 19:02:01,961 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  55%|█████▌    | 46/83 [00:53<00:43,  1.16s/article]
2025-05-11 19:02:03,212 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  57%|█████▋    | 47/83 [00:55<00:41,  1.16s/article]
2025-05-11 19:02:04,374 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  58%|█████▊    | 48/83 [00:56<00:41,  1.19s/article]
2025-05-11 19:02:05,510 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  59%|█████▉    | 49/83 [00:57<00:40,  1.18s/article]
2025-05-11 19:02:06,642 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  60%|██████    | 50/83 [00:58<00:38,  1.17s/article]
2025-05-11 19:02:07,799 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  61%|██████▏   | 51/83 [00:59<00:37,  1.16s/article]
2025-05-11 19:02:09,001 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  63%|██████▎   | 52/83 [01:00<00:35,  1.16s/article]
2025-05-11 19:02:10,178 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  64%|██████▍   | 53/83 [01:02<00:35,  1.17s/article]
2025-05-11 19:02:11,295 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  65%|██████▌   | 54/83 [01:03<00:34,  1.17s/article]
2025-05-11 19:02:12,457 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  66%|██████▋   | 55/83 [01:04<00:32,  1.16s/article]
2025-05-11 19:02:13,717 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  67%|██████▋   | 56/83 [01:05<00:31,  1.16s/article]
2025-05-11 19:02:14,870 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  69%|██████▊   | 57/83 [01:06<00:30,  1.19s/article]
2025-05-11 19:02:16,134 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  70%|██████▉   | 58/83 [01:08<00:29,  1.18s/article]
2025-05-11 19:02:17,421 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  71%|███████   | 59/83 [01:09<00:28,  1.20s/article]
2025-05-11 19:02:18,594 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  72%|███████▏  | 60/83 [01:10<00:28,  1.23s/article]
2025-05-11 19:02:19,759 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  73%|███████▎  | 61/83 [01:11<00:26,  1.21s/article]
2025-05-11 19:02:21,021 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  75%|███████▍  | 62/83 [01:12<00:25,  1.20s/article]
2025-05-11 19:02:22,204 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  76%|███████▌  | 63/83 [01:14<00:24,  1.22s/article]
2025-05-11 19:02:23,410 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  77%|███████▋  | 64/83 [01:15<00:22,  1.21s/article]
2025-05-11 19:02:24,558 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  78%|███████▊  | 65/83 [01:16<00:21,  1.21s/article]
2025-05-11 19:02:25,686 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  80%|███████▉  | 66/83 [01:17<00:20,  1.19s/article]
2025-05-11 19:02:26,829 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  81%|████████  | 67/83 [01:18<00:18,  1.17s/article]
2025-05-11 19:02:27,979 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  82%|████████▏ | 68/83 [01:20<00:17,  1.16s/article]
2025-05-11 19:02:29,118 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  83%|████████▎ | 69/83 [01:21<00:16,  1.16s/article]
2025-05-11 19:02:30,400 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  84%|████████▍ | 70/83 [01:22<00:14,  1.15s/article]
2025-05-11 19:02:31,543 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  86%|████████▌ | 71/83 [01:23<00:14,  1.19s/article]
2025-05-11 19:02:32,698 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  87%|████████▋ | 72/83 [01:24<00:12,  1.18s/article]
2025-05-11 19:02:33,855 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  88%|████████▊ | 73/83 [01:25<00:11,  1.17s/article]
2025-05-11 19:02:34,993 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  89%|████████▉ | 74/83 [01:27<00:10,  1.17s/article]
2025-05-11 19:02:36,128 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  90%|█████████ | 75/83 [01:28<00:09,  1.16s/article]
